Model,Precision,Recall,mAP50,mAP50-95
YOLOv8,0.9017697419778701,0.8525075073626602,0.9130995792787406,0.67597327179071
YOLOv9,0.9154341861587204,0.8489453903777973,0.9177977244558246,0.6926896409525481
