Metric,YOLOv8,YOLOv9
Precision,0.9017697419778701,0.9154341861587204
Recall,0.8525075073626602,0.8489453903777973
mAP50,0.9130995792787406,0.9177977244558246
mAP50-95,0.67597327179071,0.6926896409525481
