epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,53057.2,0.89781,0.55954,1.04834,0.87994,0.84904,0.91117,0.64548,0.95537,0.56089,1.18433,0.000660045,0.000660045,0.000660045
43,54356.4,0.88878,0.56537,1.04117,0.87007,0.86724,0.90993,0.65089,0.94883,0.54965,1.18295,0.000649046,0.000649046,0.000649046
44,55614.8,0.89064,0.56394,1.05239,0.89094,0.84948,0.91294,0.65363,0.94796,0.54579,1.18802,0.000638047,0.000638047,0.000638047
45,56872,0.8904,0.5544,1.04731,0.89286,0.83982,0.90946,0.64632,0.94857,0.54691,1.19025,0.000627048,0.000627048,0.000627048
46,58207.6,0.88069,0.55307,1.04393,0.89651,0.84551,0.90547,0.65138,0.94308,0.53712,1.1891,0.000616049,0.000616049,0.000616049
47,1211.62,0.88885,0.62671,1.05376,0.87519,0.84772,0.90724,0.65146,0.94277,0.55107,1.19246,0.000605051,0.000605051,0.000605051
48,2393.32,0.88196,0.55443,1.04691,0.90191,0.85047,0.91736,0.66126,0.93702,0.53634,1.18404,0.000594052,0.000594052,0.000594052
49,3549.55,0.87488,0.54326,1.04077,0.88357,0.84935,0.91013,0.65817,0.93821,0.53992,1.18791,0.000583053,0.000583053,0.000583053
50,4678.58,0.868,0.53777,1.03843,0.8863,0.86089,0.9098,0.66162,0.93162,0.53188,1.18519,0.000572054,0.000572054,0.000572054
51,5810.22,0.87559,0.54079,1.0412,0.89324,0.84989,0.91195,0.66336,0.92851,0.53392,1.18045,0.000561055,0.000561055,0.000561055
52,6942.3,0.85946,0.53069,1.03344,0.89649,0.86497,0.91834,0.66419,0.93049,0.52155,1.18068,0.000550056,0.000550056,0.000550056
53,8130.86,0.86766,0.53086,1.03817,0.89608,0.85196,0.91563,0.66281,0.92539,0.52452,1.18006,0.000539057,0.000539057,0.000539057
54,9284.02,0.85669,0.52503,1.03113,0.89545,0.86505,0.91549,0.66252,0.92419,0.52298,1.18259,0.000528058,0.000528058,0.000528058
55,10368.5,0.85456,0.53215,1.03286,0.89826,0.86275,0.91674,0.66755,0.92377,0.52132,1.18129,0.000517059,0.000517059,0.000517059
56,11459.9,0.8498,0.522,1.03291,0.88789,0.85814,0.91794,0.66464,0.92317,0.51915,1.1682,0.00050606,0.00050606,0.00050606
57,12602.9,0.8437,0.51222,1.02239,0.8849,0.86064,0.91533,0.66195,0.92431,0.52105,1.16715,0.000495062,0.000495062,0.000495062
58,13741.4,0.84804,0.51628,1.02749,0.8895,0.86234,0.91449,0.66498,0.92422,0.52176,1.1749,0.000484063,0.000484063,0.000484063
59,14795.1,0.84622,0.51409,1.0287,0.8989,0.8552,0.91641,0.66571,0.9203,0.51429,1.17636,0.000473064,0.000473064,0.000473064
60,15886.6,0.84204,0.51122,1.02381,0.87691,0.86381,0.91649,0.66701,0.91526,0.5206,1.16381,0.000462065,0.000462065,0.000462065
61,17013.5,0.83874,0.50248,1.02417,0.88934,0.86089,0.91397,0.6675,0.91831,0.52006,1.15502,0.000451066,0.000451066,0.000451066
62,18182.6,0.83322,0.50463,1.01242,0.89198,0.86848,0.919,0.66586,0.92468,0.50872,1.17085,0.000440067,0.000440067,0.000440067
